,Borough,Area,Address,Num_Beds,Num_Baths,Sq-Ft,Rent
92,queens,New_Dev,5203 Center Boulevard,2,2,0,6090.0
93,queens,New_Dev,5203 Center Boulevard,2,1,0,4950.0
94,queens,New_Dev,5203 Center Boulevard,2,2,0,5850.0
95,queens,New_Dev,5203 Center Boulevard,2,2,0,5460.0
96,queens,New_Dev,5203 Center Boulevard,2,2,0,6000.0
97,queens,Hunters Point,4545 Center Boulevard,2,2,0,4955.0
98,queens,Corona,96-02 57th Avenue,1,1,713,1976.0
99,queens,Forest Hills,67-30 Clyde Street,1,1,816,2500.0
100,queens,Hunters Point,4615 Center Boulevard,1,1,0,3760.0
101,queens,Ridgewood,68-07 Forest Avenue,4,1.5,0,3300.0
102,queens,New_Dev,28-40 Jackson Avenue,0.5,1,0,3400.0
103,queens,Astoria,21-02 29th Avenue,1,1,689,2650.0
104,queens,Woodhaven,90-10 Jamaica Avenue,0.5,1,0,1895.0
105,queens,Flushing,45-03 162nd Street,3,1,1050,2300.0
106,queens,Kew Gardens,84-47 Lefferts Boulevard,1,1,0,1950.0
107,queens,Ditmars-Steinway,24-44 27th Street,2,1,0,2300.0
108,queens,Ridgewood,1923 Cornelia Street,1,1,0,2200.0
109,queens,Ridgewood,60-01 70th Avenue,2,1,800,2300.0
110,queens,Ditmars-Steinway,23-26 33rd Street,3,2,1450,3600.0
111,queens,Astoria,10 Halletts Point,1,1,0,3150.0
112,queens,Ditmars-Steinway,21-15 21 Road,2,1,0,1950.0
113,queens,Corona,97-11 Horace Harding Expressway,1,1,713,2003.0
114,queens,Astoria,25-55 33rd Street,2,1,800,2000.0
115,queens,Ditmars-Steinway,21-14 21st Avenue,1,1,600,1550.0
116,queens,New_Dev,28-40 Jackson Avenue,0.5,1,0,3400.0
117,queens,Astoria,32-06 29th Street,2,1,0,2600.0
118,queens,Astoria,31-27 37th Street,2,1,0,3600.0
119,queens,Sunnyside,47-28 40th Street,2,1,0,2300.0
120,queens,Forest Hills,110-11 72nd Avenue,1,1,950,2200.0
121,queens,Forest Hills,65-15 Yellowstone Boulevard,1,1,0,1800.0
122,queens,Sunnyside,41-33 49th Street,2,1,0,2450.0
123,queens,Bayside,36-24 216th Street,0.5,1,0,1700.0
124,queens,Forest Hills,65-15 Yellowstone Boulevard,1,1,0,1750.0
125,queens,Whitestone,154-55 20 Road,2,1,900,2200.0
126,queens,Jamaica,153-30 89th Avenue,2,2,933,2825.0
127,queens,Jamaica,147-40 Archer Avenue,1,1,0,2442.0
128,queens,Forest Hills,67-54 Burns Street,3,1.5,1250,3400.0
129,queens,Astoria,10 Halletts Point,2,2,0,3995.0
130,queens,Long Island City,29-59 Northern Boulevard,1,1,0,5220.0
131,queens,Sunnyside,47-40 41st Street,1,1,0,1850.0
132,queens,Forest Hills,105-28 65th Avenue,0.5,1,0,1450.0
133,queens,Ditmars-Steinway,22-39 73rd Street,1,1,0,1700.0
134,queens,Astoria,43-12 30th Avenue,3,1.5,0,3500.0
135,queens,Astoria,14-19 Astoria Boulevard,1,1,675,2000.0
136,queens,Hunters Point,22-44 Jackson Avenue,0.5,1,0,3005.0
137,queens,Astoria,14-15 33 Road,2,1,0,2300.0
138,queens,Ridgewood,55-27 Myrtle Avenue,2,1,0,3650.0
139,queens,Hunters Point,22-44 Jackson Avenue,1,1,0,5300.0
140,queens,Astoria,31-19 37th Street,2,1,0,3600.0
141,queens,New_Dev,30-02 39th Avenue,0.5,1,0,3201.0
142,queens,Ditmars-Steinway,20-72 Steinway Street,1,1,650,1850.0
143,queens,Astoria,31-19 37th Street,2,1,0,3600.0
144,queens,New_Dev,28-10 Jackson Avenue,2,2,0,5620.0
145,queens,Auburndale,47-41 194th Street,2,1,900,2500.0
146,queens,Long Island City,38-35 Crescent Street,2,1,0,3575.0
147,queens,Hunters Point,22-44 Jackson Avenue,1,1,0,4000.0
148,queens,Hunters Point,22-44 Jackson Avenue,1,1,0,4000.0
149,queens,Jamaica,152-09 88th Avenue,3,2,0,4141.0
150,queens,Hunters Point,22-44 Jackson Avenue,1,1,0,4100.0
