,Borough,Area,Address,Num_Beds,Num_Baths,Sq-Ft,Rent
314,bronx,Castle Hill,2068 Story Avenue,2,1,0,1700.0
315,bronx,Soundview,1772 East 172nd Street,1,1,0,1740.0
316,bronx,Soundview,1772 East 172nd Street,1,1,0,1382.0
317,bronx,North New York,454 East 138th Street,1,1,0,1868.0
318,bronx,Fordham,2825 Grand Concourse,1,1,0,1800.0
319,bronx,Mott Haven,39 Bruckner Boulevard,2,1,850,2350.0
320,bronx,Concourse,1132 Grant Avenue,3,1,1250,2550.0
321,bronx,Mott Haven,25 Bruckner Boulevard,2,2,0,3650.0
322,bronx,Fordham,2482 Tiebout Avenue,3,1,0,2650.0
323,bronx,New_Dev,2401 3rd Avenue,2,2,0,4796.0
324,bronx,Riverdale,3461 Irwin Avenue,3,1,1331,2695.0
325,bronx,Riverdale,6020 Huxley Avenue,3,1,1000,2700.0
326,bronx,New_Dev,2401 3rd Avenue,1,1,0,3178.0
327,bronx,University Heights,2170 University Avenue,0.5,1,0,1495.0
328,bronx,Laconia,1744 Givan Avenue,3,1,1000,2200.0
329,bronx,Laconia,1744 Givan Avenue,3,1,1000,2200.0
330,bronx,Tremont,2065 Ryer Avenue,2,1,719,2217.0
331,bronx,Tremont,2065 Ryer Avenue,1,1,420,1945.0
332,bronx,Riverdale,3333 Henry Hudson Parkway,1,1,648,2500.0
333,bronx,Tremont,2065 Ryer Avenue,0.5,1,274,1900.0
334,bronx,Spuyten Duyvil,3103 Fairfield Avenue,2,1.5,895,2350.0
335,bronx,Parkchester,1847 Cross Bronx Expressway,2,1,0,2250.0
336,bronx,New_Dev,276 Grand Concourse,2,2,0,3450.0
337,bronx,Riverdale,3333 Henry Hudson Parkway,0.5,2,0,4900.0
338,bronx,Pelham Parkway,2198 Cruger Avenue,2,1,0,2200.0
339,bronx,Spuyten Duyvil,3240 Netherland Avenue,1,1,0,2200.0
340,bronx,New_Dev,2401 3rd Avenue,0.5,1,0,3256.0
341,bronx,Bronxwood,3013 Barker Avenue,2,1,0,2350.0
342,bronx,Mt. Hope,1755 Clay Avenue,1,1,0,1650.0
343,bronx,Riverdale,3707 Blackstone Avenue,3,2,1535,5000.0
344,bronx,Riverdale,3660 Waldo Avenue,3,1+,0,3499.0
345,bronx,Kingsbridge,4582 Manhattan College Parkway,1,1,700,2091.0
346,bronx,Riverdale,5535 Netherland Avenue,3,1,0,3200.0
347,bronx,Crotona Park East,1326 Chisholm Street,1,1,0,1900.0
348,bronx,Fordham,2661 Marion Avenue,0.5,1,0,1800.0
349,bronx,Pelham Bay,2860 Buhre Avenue,1,1,0,1900.0
350,bronx,New_Dev,228 East 135th Street,1,1,0,2245.0
351,bronx,Williamsbridge,900A East 213rd Street,3,1,0,2250.0
352,bronx,Bronxwood,3013 Barker Avenue,2,1,0,2595.0
353,bronx,Fordham,2585 Grand Concourse,2,1,0,1975.0
354,bronx,New_Dev,2401 3rd Avenue,2,2,0,4957.0
355,bronx,Bronxwood,655 Pelham Parkway North,1,1,0,1600.0
356,bronx,Van Nest,1921 Holland Avenue,2,1,900,2100.0
357,bronx,Parkchester,1563 Union Port Road,1,1,653,1600.0
358,bronx,Parkchester,1510 Archer Road,1,1,684,1600.0
359,bronx,Riverdale,3660 Waldo Avenue,3,2,0,3499.0
360,bronx,Riverdale,3660 Waldo Avenue,1,1,0,1950.0
361,bronx,Riverdale,3660 Waldo Avenue,2,1,0,2350.0
362,bronx,Riverdale,3660 Waldo Avenue,2,1,0,2450.0
363,bronx,Kingsbridge,3411 Corlear Avenue,3,1,1000,2500.0
364,bronx,New_Dev,2401 3rd Avenue,1,1,0,3548.0
365,bronx,New_Dev,2401 3rd Avenue,0.5,1,0,3256.0
366,bronx,Baychester,2945 Wickham Avenue,4,3,0,3995.0
367,bronx,Bronxwood,3015 Matthews Avenue,3,1,0,2550.0
368,bronx,New_Dev,2401 3rd Avenue,1,1,0,3178.0
369,bronx,Riverdale,3820 Waldo Avenue,3,1,0,2800.0
370,bronx,Riverdale,3824 Waldo Avenue,2,1,0,2150.0
371,bronx,Riverdale,3824 Waldo Avenue,3,1,0,2800.0
372,bronx,Spuyten Duyvil,530 West 236th Street,2,1,1250,2800.0
373,bronx,Riverdale,6015 Spencer Avenue,3,2,1800,3200.0
374,bronx,Woodstock,959 East 156th Street,3,1,0,2300.0
375,bronx,Norwood,3103 Webster Avenue,2,1,0,1925.0
376,bronx,Bedford Park,3224 Grand Concourse,1,1,0,1650.0
377,bronx,Fordham,2725 Morris Avenue,1,1,0,1475.0
