Borough,Area,Address,Num_Beds,Num_Baths,Sq-Ft,Rent,Long,Lat,ZipCode,Precinct,CrimeTotalPastYear,Train_Line,Dist_To_Line,Dist_To_Station,Dist_To_Entrance
queens,Flushing,140-21 32nd Avenue,1.0,1.0,700.0,2200.0,-73.82774954710712,40.76903165,11354,109.0,2113.0,7,0.0097037512332696,0.0097034280088796,0.009010450774692367
queens,Sunnyside,41-25 44th Street,1.0,1.0,634.7,1900.0,-73.91979689877863,40.74582665,11104,104.0,1473.0,7,0.003019553534202,0.0030192550106839,0.0027674555075731726
queens,Astoria,30-71 33rd Street,1.0,1.0,634.54,1895.0,-73.92096843817316,40.76428625,11103,114.0,1881.0,N-W,0.002544172700007,0.002544172700007,0.002453090880301521
queens,Astoria,35-21 Crescent Street,3.0,1.0,1080.82,3500.0,-73.93222854771642,40.75908145,11106,114.0,1881.0,N-W,0.0034970854637679,0.0035450311531516,0.003378778390277396
queens,Murray Hill (Queens),163-04 Crocheron Avenue,1.0,1.0,780.0,1975.0,-73.8025746,40.762432,11358,109.0,2113.0,7,0.0276011068804146,0.0276010753797554,0.025958713473496015
queens,Long Island City,29-17 40th Avenue,0.5,1.0,572.24,3000.0,-73.742318,40.772807,11363,111.0,860.0,F,0.0730859300179384,0.0730859300179384,0.07166784158370945
queens,Ridgewood,1880 Gates Avenue,4.0,1.5,1428.7,3399.0,-73.9067245,40.70478675,11385,104.0,1473.0,M,0.0012409754062635,0.0020551881357721,0.0021568340259852086
queens,Briarwood,82-50 135th Street,1.0,1.0,750.0,1785.0,-73.8224738,40.7127423,11435,107.0,1122.0,E,0.0018956341531408,0.0039990516438987,0.004198158018963792
queens,Long Island City,29-59 Northern Boulevard,1.0,1.0,743.31,5220.0,-73.8548612,40.7584538,11368,115.0,1943.0,7,0.0067407345965905,0.0067404029966414,0.006945258766646204
queens,Hunters Point-Sunnyside-West Maspeth,44-28 Purves Street,2.0,2.0,1262.73,5646.0,-73.94119769099831,40.7465046,11101,114.0,1881.0,M,0.0008142256413828,0.002625500570164,0.002352700055118031
queens,Jackson Heights,74-15 35th Avenue,1.0,1.0,690.0,2150.0,-73.89168246219236,40.75130085,11372,115.0,1943.0,7,0.0044625157237763,0.0044588994822007,0.00408920670220983
queens,Long Island City,29-59 Northern Boulevard,3.0,2.0,1487.27,6491.0,-73.8548612,40.7584538,11368,115.0,1943.0,7,0.0067407345965905,0.0067404029966414,0.006945258766646204
queens,Maspeth,69-79 Caldwell Avenue,0.5,1.0,526.44,1600.0,-73.89158760671393,40.72459425,11378,104.0,1473.0,M,0.013347255589751,0.0133155824113056,0.012678686020282704
queens,Woodside,32-57 60th Street,3.0,1.0,1100.0,2400.0,-73.90203249691601,40.75433025,11377,115.0,1943.0,R,0.0040801768513206,0.0043044189187959,0.004898314893608848
queens,Astoria,26-07 18th Street,1.0,1.0,637.97,2000.0,-73.9268194015272,40.7738105,11102,114.0,1881.0,N-W,0.0086293800409563,0.0088298678194778,0.008657352156412864
queens,Maspeth,60-15 Fresh Pond Road,1.0,1.0,635.52,1925.0,-73.9014928,40.7164794,11378,104.0,1473.0,M,0.0117259606174278,0.0116804972345144,0.011766010105588302
queens,Ditmars-Steinway,45-02 Ditmars Boulevard,1.0,1.0,750.0,2300.0,-73.9027758,40.7703492,11105,115.0,1943.0,N-W,0.0103767643139162,0.0103767643139162,0.010244509771282363
queens,Flushing,42-11 Parsons Boulevard,1.0,1.0,750.0,1875.0,-73.810393,40.738328,11432,107.0,1122.0,7,0.0289498797685979,0.0289501264235534,0.028144171658203564
queens,Kew Gardens Hills,70-13 Park Drive East,1.0,1.0,631.43,1800.0,-73.83032396086546,40.7264783,11367,107.0,1122.0,E,0.010454366537346,0.0107090087893813,0.010613924289588529
queens,Jackson Heights,33-34 77th Street,2.0,1.0,1100.0,2300.0,-73.8899214,40.7537681,11372,115.0,1943.0,7,0.0070753761272952,0.0070189188311089,0.006898625956161407
