,Borough,Area,Address,Num_Beds,Num_Baths,Sq-Ft,Rent
87,brooklyn,Ocean Hill,130 Thomas S Boyland Street,3,1,0,2500.0
88,brooklyn,New_Dev,21 India Street,1,1,690,5310.0
89,brooklyn,Homecrest,2728 Kings Highway,2,1,0,1950.0
90,brooklyn,Greenpoint,634 Leonard Street,4,1.5,1000,3999.0
91,brooklyn,Fort Greene,130 Adelphi Street,1,1,0,2500.0
92,brooklyn,Homecrest,2728 Kings Highway,1,1,0,1750.0
93,brooklyn,Prospect Lefferts Gardens,650 Rogers Avenue,1,1,0,2000.0
94,brooklyn,Ocean Hill,274 Sumpter Street,4,1,0,2699.0
95,brooklyn,Ocean Hill,1364 Herkimer Street,4,2,0,2850.0
96,brooklyn,Sunset Park,5707 Fourth Avenue,3,1,0,2399.0
97,brooklyn,Ocean Hill,304 Sumpter Street,1,1,0,2200.0
98,brooklyn,Bushwick,123 Melrose Street,0.5,1,0,2385.0
99,brooklyn,Downtown Brooklyn,309 Gold Street,2,2,0,5774.0
100,brooklyn,Homecrest,2728 Kings Highway,0.5,1,0,1450.0
101,brooklyn,Bushwick,679 Knickerbocker Avenue,3,2,0,3399.0
102,brooklyn,New_Dev,21 India Street,0.5,1,493,3660.0
103,brooklyn,Crown Heights,1159 Saint Johns Place,2,1,0,2300.0
104,brooklyn,Flatbush,361 Ocean Avenue,1,1,0,2000.0
105,brooklyn,Brooklyn Heights,177 Columbia Heights,0.5,1,0,2000.0
106,brooklyn,Crown Heights,410 Eastern Parkway,5,2,0,5250.0
107,brooklyn,Crown Heights,1486 Bedford Avenue,3,2,0,5250.0
108,brooklyn,Park Slope,59 Seventh Avenue,1,1,0,2850.0
109,brooklyn,Crown Heights,300 Sullivan Place,2,1,0,1930.0
110,brooklyn,Williamsburg,171 South 4th Street,1,1,0,2300.0
111,brooklyn,Windsor Terrace,33 Caton Place,2,2,0,4235.0
112,brooklyn,Bushwick,123 Melrose Street,1,1,0,3248.0
113,brooklyn,Downtown Brooklyn,111 Lawrence Street,2,2,976,5195.0
114,brooklyn,Flatbush,142 Erasmus Street,4,2,0,2900.0
115,brooklyn,Downtown Brooklyn,333 Schermerhorn Street,0.5,1,0,2828.0
116,brooklyn,New_Dev,21 India Street,0.5,1,498,3540.0
117,brooklyn,Downtown Brooklyn,333 Schermerhorn Street,0.5,1,0,2791.0
118,brooklyn,Williamsburg,50 Herbert Street,4,1.5,0,3650.0
119,brooklyn,Williamsburg,194 Montrose Avenue,4,1.5,0,4950.0
120,brooklyn,Williamsburg,187 Kent Avenue,0.5,1,0,3150.0
121,brooklyn,Williamsburg,96 Bedford Avenue,3,2,0,5500.0
122,brooklyn,Stuyvesant Heights,1875 Atlantic Avenue,2,1,0,2472.0
123,brooklyn,Bushwick,340 Evergreen Avenue,0.5,1,0,2325.0
124,brooklyn,Crown Heights,12 Crown Street,0.5,1,0,1750.0
125,brooklyn,Crown Heights,2027 Pacific Street,1,1,0,1680.0
