,Borough,Area,Address,Num_Beds,Num_Baths,Sq-Ft,Rent
3223,manhattan,New_Dev,375 West 123rd Street,3,2,1415,6500.0
3224,manhattan,Midtown South,125 West 31st Street,3,2,0,10000.0
3225,manhattan,Midtown,250 West 50th Street,1,1,667,4200.0
3226,manhattan,East Harlem,324 East 112th Street,2,2,0,3599.0
3227,manhattan,East Village,424 East 14th Street,0.5,1,0,2150.0
3228,manhattan,Sutton Place,220 East 57th Street,2,2.5,1255,6750.0
3229,manhattan,Financial District,20 Exchange Place,1,1,0,4675.0
3230,manhattan,East Harlem,202 East 110th Street,3,1,0,2800.0
3231,manhattan,NoMad,800 6th Avenue,1,1,664,5398.0
3232,manhattan,Yorkville,30 East End Avenue,2,1,0,4450.0
3233,manhattan,Central Harlem,224 West 149th Street,3,1,0,2200.0
3234,manhattan,Midtown,271 W 47th Street,0.5,1,0,4200.0
3235,manhattan,Morningside Heights,180 Claremont Avenue,4,2,1500,4999.0
3236,manhattan,Central Harlem,150 West 140th Street,1,1,0,1950.0
3237,manhattan,East Village,380 E 10th Street,1,1,0,3250.0
3238,manhattan,Midtown South,125 West 31st Street,0.5,1,0,3795.0
3239,manhattan,Kips Bay,210 E 25th Street,1,1,0,3150.0
3240,manhattan,Kips Bay,214 E 25th Street,1,1,0,3150.0
3241,manhattan,Kips Bay,213 E 26th Street,2,2.5,0,6995.0
3242,manhattan,Financial District,66 Pearl Street,2,1,950,4650.0
3243,manhattan,Battery Park City,50 Battery Place,2,2,980,4950.0
3244,manhattan,East Village,101 East 10th Street PENTHOUSE,2,2,0,9400.0
3245,manhattan,Midtown,255 West 51st Street,1,1,0,3200.0
3246,manhattan,East Village,326 East 6th Street,0.5,1,0,2325.0
3247,manhattan,Lenox Hill,215 East 68th Street,2,2,1331,8000.0
3248,manhattan,Hell's Kitchen,1 Columbus Place,2,2,0,7300.0
3249,manhattan,Murray Hill,626 First Avenue,1,1,0,6196.0
3250,manhattan,Turtle Bay,212 East 48th Street,2,1,1100,4700.0
3251,manhattan,Sutton Place,1065 Second Avenue,1,1,808,5722.0
3252,manhattan,Midtown South,125 West 31st Street,0.5,1,0,3795.0
3253,manhattan,East Village,324 East 13th Street,1,1,0,3195.0
3254,manhattan,Soho,110 Thompson Street,0.5,1,0,2450.0
3255,manhattan,Midtown,854 Eighth Avenue,1,1,0,3100.0
3256,manhattan,East Harlem,18 East 105th Street,3,1,0,2600.0
3257,manhattan,Sutton Place,400 E 57th Street,1,1,0,4375.0
3258,manhattan,Fulton/Seaport,41 Beekman Street,3,2,2300,8500.0
3259,manhattan,Lenox Hill,1420 York Avenue,0.5,1,420,2180.0
3260,manhattan,Washington Heights,509 West 170th Street,3,1,1000,2499.0
3261,manhattan,Yorkville,517 East 81st Street,1,1,0,2495.0
3262,manhattan,Lincoln Square,60 W 66th Street,1,1,850,5700.0
3263,manhattan,East Village,201 East 4th Street,3,2,0,5500.0
3264,manhattan,Washington Heights,659 West 162nd Street,2,1,0,2225.0
3265,manhattan,Lower East Side,303 Broome Street,3,1,0,5400.0
3266,manhattan,New_Dev,222 East 44th Street,2,2,0,11300.0
3267,manhattan,Yorkville,515 East 88th Street,0.5,1,0,2100.0
3268,manhattan,Washington Heights,580 West 172nd Street,2,1,0,2000.0
3269,manhattan,Turtle Bay,155 East 52nd Street,0.5,1,0,2090.0
3270,manhattan,Turtle Bay,845 United Nations Plaza,1,1.5,871,4500.0
3271,manhattan,Hudson Heights,815 West 180th Street,3,1,0,2750.0
3272,manhattan,East Harlem,166 East 105th Street,1,1,0,2500.0
3273,manhattan,Upper West Side,135 West 96th Street,1,1,686,4100.0
3274,manhattan,Washington Heights,545 Edgecombe Avenue,0.5,1,0,1695.0
3275,manhattan,East Harlem,115 East 116th Street,0.5,1,0,1600.0
3276,manhattan,Yorkville,201 East 82nd Street,3,2,0,4000.0
3277,manhattan,Inwood,120 Vermilyea Avenue,2,1,0,2400.0
3278,manhattan,Sutton Place,400 E 57th Street,0.5,1,0,3525.0
3279,manhattan,Lenox Hill,200-210 East 65th Street,1,1,0,4500.0
3280,manhattan,Midtown South,125 West 31st Street,1,1,0,4995.0
3281,manhattan,Battery Park City,355 South End Avenue,1,1,786,4285.0
3282,manhattan,Lower East Side,122 Allen Street,1,1,0,3395.0
3283,manhattan,Hell's Kitchen,310 West 52nd Street,2,2.5,1253,8000.0
3284,manhattan,Hudson Heights,12 Pinehurst Avenue,3,1,0,2695.0
