,Borough,Area,Address,Num_Beds,Num_Baths,Sq-Ft,Rent
92,queens,Ditmars-Steinway,24-55 Crescent Street,2,1,0,2800.0
93,queens,Oakland Gardens,211-02 73rd Avenue,1,1,785,1775.0
94,queens,Woodside,43-30 54th Street,2,1,0,2200.0
95,queens,Astoria,30-14 Steinway Street,3,1,0,2800.0
96,queens,Woodside,34-26 62nd Street,2,1,0,2099.0
97,queens,Astoria,31-49 29th Street,1,1,0,2255.0
98,queens,Astoria,30-14 33rd Street,3,1,1100,3050.0
99,queens,Astoria,36-01 30th Avenue,2,1,800,2350.0
100,queens,Forest Hills,77-44 Austin Street,2,1,900,2400.0
101,queens,Rego Park,64-45 Booth Street,2,2,1000,2550.0
102,queens,Kew Gardens,83-30 118th Street,1,1,0,1995.0
103,queens,New_Dev,36-37 31st Street,2,2,1000,4400.0
104,queens,Corona,96-08 57th Avenue,1,1,718,2082.0
105,queens,New_Dev,28-10 Jackson Avenue,2,2,0,5537.0
106,queens,Astoria,33-14 31st Avenue,2,1,0,1999.0
107,queens,Ditmars-Steinway,20-05 Steinway Street,1,1,0,1475.0
108,queens,Ridgewood,1709 Madison Street,3,2,0,2900.0
109,queens,Kew Gardens,83-30 118th Street,1,1,750,1995.0
110,queens,Kew Gardens,83-57 118th Street,1,1,750,1700.0
111,queens,Sunnyside,50-05 43rd Avenue,2,1,850,2000.0
112,queens,Briarwood,141-30 85 Road,0.5,1,500,1450.0
113,queens,Briarwood,139-60 85 Drive,2,1,950,1995.0
114,queens,Briarwood,82-35 134th Street,1,1,725,1765.0
115,queens,Astoria,30-89 38th Street,0.5,1,400,1745.0
116,queens,Briarwood,141-30 85 Road,1,1,750,1725.0
117,queens,Corona,97-05 Horace Harding Expressway,0.5,1,468,1920.0
118,queens,Corona,98-23 Horace Harding Expressway,1,1,867,2438.0
119,queens,Little Neck,243-03 72nd Avenue,2,1.5,0,2500.0
120,queens,Hunters Point,4-74 48th Avenue,0.5,1,505,2750.0
121,queens,Rego Park,98-09 64 Road,1,1,0,2100.0
122,queens,Sunnyside,45-32 44th Street,1,1,800,2200.0
123,queens,Forest Hills,109-20 Queens Boulevard,1,1,661,2100.0
124,queens,New_Dev,44-41 Purves Street,0.5,1,0,3050.0
125,queens,Flushing,45-10 164th Street,3,1,1000,2450.0
