Borough,Area,Address,Num_Beds,Num_Baths,Sq-Ft,Rent,Long,Lat,ZipCode,Precinct,CrimeTotalPastYear,Train_Line,Dist_To_Line,Dist_To_Station,Dist_To_Entrance
brooklyn,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,181 Front Street,2.0,2.0,1290.54,6496.0,-73.98598783528503,40.70252645,11201.0,84.0,1063.0,F,0.0016825167832268,0.0029247817615982,0.0013264442899894263
brooklyn,Bushwick,54 Noll Street,1.0,1.0,673.96,3100.0,-73.93370810131901,40.7003351,11206.0,83.0,1638.0,M,0.0031812987577435,0.0036779160831234,0.0038256492226163446
brooklyn,Brownsville,1039 Rutland Road,3.0,2.0,1356.7,2500.0,-73.92528726666667,40.66349126666667,11212.0,67.0,1832.0,3,0.0028569606090807,0.003046007623712,0.0025870677787881
brooklyn,Prospect Lefferts Gardens,115 Ocean Avenue,2.0,2.0,1178.3,3065.0,-73.96263416666667,40.66008633333333,11225.0,71.0,954.0,B,0.0006945680372594,0.0016604303178706,0.0008796406901201998
brooklyn,Bushwick,124 Linden Street,2.0,1.0,860.41,2781.0,-73.91914003225806,40.69352851612904,11221.0,83.0,1638.0,J-Z,0.0049997725893742,0.0049654089242782,0.0051817294589276384
brooklyn,Midwood,225 Avenue M,3.0,2.0,1300.0,4300.0,-73.97304157142857,40.61665910204081,11230.0,66.0,990.0,F,0.0019088468935236,0.0025129510643333,0.0013259484540723684
brooklyn,Old Mill Basin,2065 East 57th Street,1.0,1.0,621.61,1500.0,-73.91813844897959,40.61370402040816,11234.0,67.0,1832.0,5,0.034990415907748,0.035082759883771,0.034654182569240195
brooklyn,Bushwick,618 Bushwick Avenue,2.0,1.0,887.17,3599.0,-73.93392066666667,40.698126333333335,11206.0,83.0,1638.0,M,0.0011628657106403,0.0019404442846789,0.0019732547189361136
brooklyn,Fort Greene,475 Clermont Avenue,2.0,2.0,864.0,5778.0,-73.9688124,40.6838897,11238.0,78.0,911.0,A-C,0.0003679976446251,0.0030397068666834,0.0017542379234335582
brooklyn,Flatbush,120 Erasmus Street,1.0,1.0,646.97,2275.0,-73.95172875,40.649614,11226.0,67.0,1832.0,2,0.0024795688050368,0.0025929773044827,0.002273271008986544
brooklyn,Bushwick,668 Bushwick Avenue,3.0,2.0,1412.35,4201.0,-73.93208046666666,40.69710853333333,11221.0,83.0,1638.0,M,0.0009491665642959,0.0035435897334499,0.0033873969525793465
brooklyn,Flatbush,2324 Clarendon Road,3.0,2.0,1374.69,3050.0,-73.95516579591838,40.64276479591837,11226.0,70.0,1410.0,2,0.0066307318390884,0.0067437618625234,0.006364252557238043
brooklyn,Bushwick,32 Starr Street,1.0,2.0,982.56,3100.0,-73.927317125,40.700707875,11221.0,83.0,1638.0,M,0.002852327039718,0.0028358438346495,0.002837270694460598
